Glottocode,split.Pro.1.incl.excl,split.Pro.3.human,split.Pro.3.animate,split.DEM.human,split.DEM.animate,split.N.kin,split.N.human,split.N.animate
kett1243,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
kham1282,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
khar1287,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
kokb1239,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
kork1243,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
kuii1252,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
kumi1248,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
kuot1243,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
kuru1302,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
kuvi1243,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
kwaz1243,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
lada1244,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lavu1241,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
lhom1239,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
limb1266,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
luok1236,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
madn1237,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
maga1260,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
mala1464,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
mala1522,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
manc1252,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
manx1243,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
maor1246,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
mara1378,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mats1244,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
maun1240,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
mbay1241,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mbya1239,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
mend1266,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
meri1244,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
meya1236,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
misk1235,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mixe1288,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
moch1259,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
moco1246,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
mula1253,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mund1320,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
muru1274,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
mwag1236,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
